dataset,profile,android_brightness,patch,R,G,B,X,Y,Z
native-gamma22-brightness-20260913/slider-010-raw-026,gamma22,26,white-end,255,255,255,4.520218,4.779434,5.166353
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,white-start,255,255,255,15.606746,16.506727,17.772608
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,black,0,0,0,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-4,4,4,4,0.0,0.0,0.0
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-8,8,8,8,0.019654,0.022805,0.008888
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-12,12,12,12,0.028119,0.032015,0.015902
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-16,16,16,16,0.035029,0.03699,0.033453
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-24,24,24,24,0.083448,0.0878,0.09213
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-32,32,32,32,0.162783,0.17427,0.185501
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-48,48,48,48,0.387181,0.410315,0.448593
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-64,64,64,64,0.743801,0.79211,0.861595
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-96,96,96,96,1.801145,1.916866,2.06564
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-128,128,128,128,3.425012,3.637346,3.946666
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-160,160,160,160,5.603176,5.938698,6.438127
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-192,192,192,192,8.279654,8.835638,9.389366
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-224,224,224,224,11.71275,12.376647,13.399816
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-240,240,240,240,13.585349,14.34157,15.468365
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-248,248,248,248,14.583665,15.452399,16.588312
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,gray-252,252,252,252,15.133759,16.02559,17.242607
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-128,128,0,0,1.453514,0.76238,0.086483
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-224,224,0,0,5.001117,2.615595,0.287695
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-240,240,0,0,5.859836,3.055156,0.324727
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-248,248,0,0,6.358801,3.314552,0.344229
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-252,252,0,0,6.567004,3.426348,0.362757
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,red-255,255,0,0,6.771297,3.537319,0.364092
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-128,0,128,0,1.345023,2.661045,0.463035
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-224,0,224,0,4.564464,9.067524,1.583963
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-240,0,240,0,5.300863,10.516909,1.843194
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-248,0,248,0,5.693316,11.272113,1.965991
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-252,0,252,0,5.916423,11.723306,2.03354
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,green-255,0,255,0,6.065928,12.051408,2.090638
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-128,0,0,128,0.67212,0.278974,3.493502
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-224,0,0,224,2.233475,0.917011,11.638281
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-240,0,0,240,2.624176,1.076055,13.674217
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-248,0,0,248,2.821765,1.154484,14.675069
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-252,0,0,252,2.901936,1.191483,15.118265
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,blue-255,0,0,255,2.989731,1.22174,15.575019
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-128,0,128,128,1.99847,2.905582,3.853209
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-224,0,224,224,6.741443,9.888834,13.036554
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-240,0,240,240,7.817134,11.45931,15.106672
native-gamma22-brightness-20260913/slider-020-raw-052,gamma22,52,cyan-248,0,248,248,8.400563,12.27435,16.360027
